date,league,season,index,round,home_team,away_team,home_goals,away_goals,home_goals_first_half,away_goals_first_half,link,spectators
2016-01-15,Testspiel,2015-16,770,,YB,HSV,2,1,1,0,http://www.bscyb.ch/news-events?nID=6636,644
2016-01-19,Testspiel,2015-16,771,,YB,Steaua Bukarest,2,2,1,1,http://www.bscyb.ch/news-events?nID=6641,300
2016-01-23,Testspiel,2015-16,772,,YB,Sturm Graz,1,4,0,0,http://www.bscyb.ch/news-events?nID=6647,100
2016-01-30,Testspiel,2015-16,773,,YB,Wohlen,3,1,2,1,http://www.bscyb.ch/news-events?nID=6657,1000
2016-02-02,Testspiel,2015-16,774,,YB,Le Mont,5,0,1,0,http://www.bscyb.ch/news-events?nID=6664,414
2016-02-06,Meisterschaft,2015-16,775,,YB,GC,1,1,1,1,http://www.bscyb.ch/news-events?nID=6673,14412
2016-02-13,Meisterschaft,2015-16,776,,Vaduz,YB,1,1,1,0,http://www.bscyb.ch/news-events?nID=6686,2900
2016-02-20,Meisterschaft,2015-16,777,,YB,Thun,2,1,1,0,http://www.bscyb.ch/news-events?nID=6696,13457
2016-02-27,Meisterschaft,2015-16,778,,Zürich,YB,0,1,0,0,http://www.bscyb.ch/news-events?nID=6705,7747
2016-03-06,Meisterschaft,2015-16,779,,YB,Luzern,5,2,2,1,http://www.bscyb.ch/news-events?nID=6719,16051
2016-03-13,Meisterschaft,2015-16,780,,YB,Sion,3,2,1,2,http://www.bscyb.ch/news-events?nID=6730,14555
2016-03-24,Testspiel,2015-16,782,,YB,Aarau,5,1,2,1,http://www.bscyb.ch/news-events?nID=6755,410
2016-04-03,Meisterschaft,2015-16,783,,Basel,YB,2,0,0,0,http://www.bscyb.ch/news-events?nID=6766,31600
2016-04-09,Meisterschaft,2015-16,784,,YB,Lugano,7,0,4,0,http://www.bscyb.ch/news-events?nID=6774,13102
2016-04-17,Meisterschaft,2015-16,785,,YB,Vaduz,5,4,2,2,http://www.bscyb.ch/news-events?nID=6790,13779
2016-04-20,Meisterschaft,2015-16,786,,Luzern,YB,2,3,1,2,http://www.bscyb.ch/news-events?nID=6796,9460
2016-04-24,Meisterschaft,2015-16,787,,YB,Zürich,3,0,1,0,http://www.bscyb.ch/news-events?nID=6802,17150
2016-04-30,Meisterschaft,2015-16,788,,GC,YB,1,2,0,2,http://www.bscyb.ch/news-events?nid=6811,5200
2016-05-08,Meisterschaft,2015-16,789,,Sion,YB,2,1,2,1,http://www.bscyb.ch/news-events?nID=6823,9200
2016-05-12,Meisterschaft,2015-16,790,,YB,St Gallen,3,1,0,0,http://www.bscyb.ch/news-events?nID=6832,13716
2016-05-16,Meisterschaft,2015-16,791,,Lugano,YB,1,3,1,0,http://www.bscyb.ch/news-events?nID=6836,5460
2016-05-22,Meisterschaft,2015-16,792,,YB,Basel,2,3,0,3,http://www.bscyb.ch/news-events?nID=6847,21721
2016-05-25,Meisterschaft,2015-16,793,,Thun,YB,0,3,0,1,http://www.bscyb.ch/news-events?nID=6858,6874
2016-06-24,Burkhalter-Cup,2016-17,794,,YB,Breitenrain  YB,,,,,,
2016-06-28,Testspiel,2016-17,795,,SCR Altach,YB,0,0,,,http://www.bscyb.ch/news-events?nID=6900,300
2016-07-01,Testspiel,2016-17,796,,RB Salzburg,YB,3,1,1,0,http://www.bscyb.ch/news-events?nID=6906,1000
2016-07-07,Testspiel,2016-17,797,,YB,Sparta Prag,2,1,0,1,,
2016-07-13,Testspiel,2016-17,798,,YB,Mönchengladbach,3,3,4,5,http://www.bscyb.ch/news-events?nID=6927,4438
2016-07-17,Testspiel,2016-17,799,,YB,Spartak Moskau,1,3,1,1,http://www.bscyb.ch/news-events?nID=6932,500
2016-07-19,Testspiel,2016-17,800,,YB,Galatasaray,1,1,0,1,http://www.bscyb.ch/news-events?nID=6936,3548
2016-07-23,Meisterschaft,2016-17,801,,St. Gallen,YB,0,2,0,0,http://www.bscyb.ch/news-events?nID=6942,12890
2016-07-26,CL-Qualifikation,2016-17,802,,Schachtar Donezk,YB,2,0,1,0,http://www.bscyb.ch/news-events?nID=6946,5000
2016-07-30,Meisterschaft,2016-17,803,,YB,Lugano,1,2,1,0,http://www.bscyb.ch/news-events?nID=6952,14300
2016-08-03,CL-Qualifikation,2016-17,804,,YB,Schachtar Donezk,2,0,4,2,http://www.bscyb.ch/news-events?nID=6957,9365
2016-08-06,Meisterschaft,2016-17,805,,YB,Thun,4,1,1,1,http://www.bscyb.ch/news-events?nID=6962,31120
2016-08-10,Meisterschaft,2016-17,806,,Basel,YB,3,0,0,0,http://www.bscyb.ch/news-events?nID=6973,29523
2016-08-13,Schweizer Cup,2016-17,807,,Veltheim,YB,0,6,0,2,http://www.bscyb.ch/news-events?nID=6977,2501
2016-08-16,Playoffs CL,2016-17,808,,YB,Mönchengladbach,1,3,0,1,http://www.bscyb.ch/news-events?nID=6983,30224
2016-08-20,Meisterschaft,2016-17,809,,YB,Lausanne,7,2,3,1,http://www.bscyb.ch/news-events?nID=6990,14665
2016-08-24,Playoffs CL,2016-17,810,,Mönchengladbach,YB,6,1,3,0,http://www.bscyb.ch/news-events?nID=7000,43302
2016-08-28,Meisterschaft,2016-17,811,,GC,YB,4,1,1,0,http://www.bscyb.ch/news-events?nID=7005,4800
2016-09-10,Meisterschaft,2016-17,812,,YB,Luzern,2,1,2,0,http://www.bscyb.ch/news-events?nID=7027,16085
2016-09-15,Europa League,2016-17,813,,YB,Olympiakos Piräus,0,1,0,1,http://www.bscyb.ch/news-events?nID=7035,11132
2016-09-18,Schweizer Cup,2016-17,814,,Bazenheid,YB,1,7,0,1,http://www.bscyb.ch/news-events?nID=7039,3273
2016-09-21,Meisterschaft,2016-17,815,,Vaduz,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7043,3832
2016-09-25,Meisterschaft,2016-17,816,,Sion,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7048,9500
2016-09-29,Europa League,2016-17,817,,Astana,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7058,21328
2016-10-02,Meisterschaft,2016-17,818,,YB,St Gallen,2,2,1,1,http://www.bscyb.ch/news-events?nID=7062,14928
2016-10-16,Meisterschaft,2016-17,819,,Lugano,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7081,4176
2016-10-20,Europa League,2016-17,820,,YB,APOEL Nikosia,3,1,1,1,http://www.bscyb.ch/news-events?nid=7091&pid=0,9553
2016-10-23,Meisterschaft,2016-17,821,,YB,GC,4,0,2,0,http://www.bscyb.ch/news-events?nID=7095,20112
2016-10-26,"Schweizer Cup,1/8-Final",2016-17,822,,YB,GC,5,0,2,0,http://www.bscyb.ch/news-events?nID=7103,7715
2016-10-30,Meisterschaft,2016-17,823,,YB,Vaduz,5,0,1,0,http://www.bscyb.ch/news-events?nID=7108,15020
2016-11-03,Europa League,2016-17,824,,APOEL Nikosia,YB,1,0,0,0,http://www.bscyb.ch/news-events?nID=7115,14000
2016-11-06,Meisterschaft,2016-17,825,,Luzern,YB,2,2,1,0,http://www.bscyb.ch/news-events?nID=7119,11880
2016-11-20,Meisterschaft,2016-17,826,,YB,Sion,4,3,1,2,http://www.bscyb.ch/news-events?nID=7137,23188
2016-11-24,Europa League,2016-17,827,,Olympiakos Piräus,YB,1,1,0,0,http://www.bscyb.ch/news-events?nID=7144,25000
2016-11-27,Meisterschaft,2016-17,828,,Lausanne,YB,1,2,0,0,http://www.bscyb.ch/news-events?nID=7147,5040
2016-12-03,Meisterschaft,2016-17,829,,YB,Basel,3,1,1,0,http://www.bscyb.ch/news-events?nID=7156,20216
2016-12-08,Europa League,2016-17,830,,YB,Astana,3,0,0,0,http://www.bscyb.ch/news-events?nID=7161,7616
2016-12-11,Meisterschaft,2016-17,831,,Thun,YB,2,3,1,1,http://www.bscyb.ch/news-events?nID=7164,7247
2017-01-10,Testspiel,2016-17,833,,YB,Schaffhausen,3,4,1,3,http://www.bscyb.ch/news-events?nID=7179,300
2017-01-15,Testspiel,2016-17,834,,YB,Hannover ,1,2,1,1,http://www.bscyb.ch/news-events?nID=7182,100
2017-01-18,Testspiel,2016-17,835,,YB,Würzburger Kickers,2,0,0,0,http://www.bscyb.ch/news-events?nID=7192,80
2017-01-28,Testspiel,2016-17,836,,YB,Xamax,1,1,1,0,http://www.bscyb.ch/news-events?nID=7199,1268
2017-02-05,Meisterschaft,2016-17,837,,YB,Sion,3,1,2,0,http://www.bscyb.ch/news-events?nID=7208,13488
2017-02-12,Meisterschaft,2016-17,838,,Luzern,YB,4,1,3,1,http://www.bscyb.ch/news-events?nID=7225,10045
2017-02-18,Meisterschaft,2016-17,839,,YB,St Gallen,2,2,1,0,http://www.bscyb.ch/news-events?nID=7236,13186
2017-02-25,Meisterschaft,2016-17,840,,GC,YB,2,3,1,3,http://www.bscyb.ch/news-events?nID=7243,5000
2017-03-01,Schweizer Cup,2016-17,841,,YB,Winterthur,5,7,,,http://www.bscyb.ch/news-events?nID=7252,9462
2017-03-04,Meisterschaft,2016-17,842,,YB,Thun,3,2,1,2,http://www.bscyb.ch/news-events?nID=7257,17533
2017-03-12,Meisterschaft,2016-17,843,,Lausanne,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7267,4011
2017-03-19,Meisterschaft,2016-17,844,,Lugano,YB,0,2,0,0,http://www.bscyb.ch/news-events?nID=7276,4121
2017-04-02,Meisterschaft,2016-17,845,,YB,Vaduz,3,2,1,1,http://www.bscyb.ch/news-events?nID=7294,15623
2017-04-09,Meisterschaft,2016-17,846,,Basel,YB,1,1,0,1,http://www.bscyb.ch/news-events?nID=7302,30817
2017-04-17,Meisterschaft,2016-17,847,,YB,GC,0,1,0,0,http://www.bscyb.ch/news-events?nID=7314,15097
2017-04-23,Meisterschaft,2016-17,848,,YB,Lugano,1,2,0,1,http://www.bscyb.ch/news-events?nID=7323,13234
2017-04-30,Meisterschaft,2016-17,849,,St. Gallen,YB,0,2,0,0,http://www.bscyb.ch/news-events?nID=7332,11977
2017-05-07,Meisterschaft,2016-17,850,,Sion,YB,0,1,0,1,http://www.bscyb.ch/news-events?nID=7341,9800
2017-05-14,Meisterschaft,2016-17,851,,YB,Luzern,4,1,3,1,http://www.bscyb.ch/news-events?nID=7352,21133
2017-05-17,Meisterschaft,2016-17,852,,Vaduz,YB,1,0,0,0,http://www.bscyb.ch/news-events?nID=7358,3684
2017-05-21,Meisterschaft,2016-17,853,,YB,Basel,2,1,1,1,http://www.bscyb.ch/news-events?nID=7364,18373
2017-05-28,Meisterschaft,2016-17,854,,Thun,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7375,7417
2017-06-02,Meisterschaft,2016-17,855,,YB,Lausanne,2,0,0,0,http://www.bscyb.ch/news-events?nID=7389,16492
2017-06-23,Burkhalter-Cup,2017-18,856,,YB,Breitenr  YB,4,,,,http://www.bscyb.ch/news-events?nID=7428,3200
2017-06-30,Testspiel,2017-18,857,,YB,Wacker Innsbruck,3,0,2,0,http://www.bscyb.ch/news-events?nID=7436,600
2017-07-05,Testspiel,2017-18,858,,YB,Achmat Grosny,1,4,1,1,http://www.bscyb.ch/news-events?nID=7441,400
2017-07-12,Testspiel,2017-18,859,,YB,Stoke City,2,2,3,4,http://www.bscyb.ch/news-events?nID=7448,5037
2017-07-15,Testspiel,2017-18,860,,YB,Benfica Lissabon,5,1,1,1,http://www.bscyb.ch/news-events?nID=7451,5200
2017-07-22,Meisterschaft,2017-18,861,,YB,Basel,2,0,0,0,http://www.bscyb.ch/news-events?nID=7462,31120
2017-07-26,CL-Qualifikation,2017-18,862,,Dynamo Kiew,YB,3,1,2,0,http://www.bscyb.ch/news-events?nID=7469,36381
